"＼勝利回数
　 ＼()内特殊役職
役職￣￣￣￣￣＼",1,5(3),10(5),20(10),30(15),50(25),75,100,150,200,300,400,500,750,1000,1500,2000,12000
all,かけだし,勝利,"勝ち組",期待,到達,撃墜王,賢王,武王,スペシャリスト,英雄,マスター,絶対王者,天衣無縫,天下無双,全知全能,月の頭脳,,
Human,村人,素人,凡人,玄人,達人,超人,要人,貴人,凡骨の意地,廃人,,,,,,,,
Werewolf,"人狼
狼",狼男,一騎当千,野獣,同胞,破壊神,喰らう者,獣王,月下,覇王,,,,,,,,
Diviner,"占い師
占い",当たるも八卦,"導師
導","陰陽師
陰陽",第三の目,メシア,現人神,天照大神,全てを知るもの,森羅万象,,,,,,,,
Psychic,"霊能者
霊能",イタコ,僧侶,代弁者,第六感,サイキック,シャーマン,ツクヨミ,,,,,,,,,,
Madman,狂人,世間知らず,詐欺,口先,狂世界の王,狂神,サイケデリック,狂乱,,,,,,,,,,
Guard,狩人,鉄壁,ボディーガード,キーパー,ザ・ウォール,防人,仁王,守護神,,,,,,,,,,
Couple,"共有者
共有",仲良し,タッグ,親友,同居人,寵愛者,阿吽の呼吸,一心同体,シンクロ,オーバーレイネットワークを構築,現われろ,No.39,希望皇ホープ,,,,,
Fox,妖狐,策士,狡猾,おキツネ様,九尾,白狐,天狐,神獣,,,,,,,,,,
Poisoner,埋毒者,ソラニン,ヤドクガエル,スベスベマンジュウガニ,フグ,ボツリヌス菌,,,,,,,,,,,,
BigWolf,大狼,リーダー,頭領,ボス,白狼,表裏一体,,,,,,,,,,,,
TinyFox,子狐,意思疎通,親の心子知らず,親思い,将来有望,サラブレッド,,,,,,,,,,,,
Cat,"猫又
猫",化け猫,二尾,死なばもろとも,しぶとい,100万回生きた,,,,,,,,,,,,
Devil,悪魔くん,使い魔,小悪魔,デビル,魔王,サタン,,,,,,,,,,,,
ToughGuy,タフガイ,筋肉,鋼,"師匠
匠",格闘家,チャンピオン,,,,,,,,,,,,
Cupid,キューピッド,見習い天使,準天使,天使,天使長,熾天使,,,,,,,,,,,,
Stalker,ストーカー,変人,不審者,歪んだ愛,犯罪,無理心中,,,,,,,,,,,,
OccultMania,オカルトマニア,都市伝説,心霊,UMA,宇宙人,神秘,,,,,,,,,,,,
WhisperingMad,囁き狂人,耳打ち,糸電話,携帯電話,無線,テレパシー,,,,,,,,,,,,
Lover,"求愛者
求愛",目と目が合う,恋人募集中,プロポーズ,愛してる,俺の嫁,,,,,,,,,,,,一万年と二千年前から
Dog,犬,わん,野良犬,飼い犬,従僕,お犬様,,,,,,,,,,,,
Fanatic,"狂信者
狂信",服従,生命,世界,宇宙,真理,,,,,,,,,,,,
Immoral,"背徳者
背徳",入信,信心深い,稲荷の使い,洗脳,無意識,,,,,,,,,,,,
Bat,こうもり,灰色,あやふや,片翼,フリーダム,鳥なき島,,,,,,,,,,,,
Noble,貴族,男爵,子爵,伯爵,侯爵,公爵,,,,,,,,,,,,
Slave,奴隷,使い走り,下働き,倍返し,今に見てろ,下克上,,,,,,,,,,,,
Magician,"魔術師
魔術",儀式,蘇生,"死霊術師
死霊術","賢者
賢","大魔道師
大魔道",,,,,,,,,,,,
Spy,スパイ,間諜,探偵,諜報員,００７,CIA,,,,,,,,,,,,
WolfDiviner,人狼占い,末吉,小吉,"中吉
吉",大吉,闇眼,,,,,,,,,,,,
Fugitive,"逃亡者
逃亡",臆病,逃走中,大脱走,指名手配,疾風怒濤,,,,,,,,,,,,
Merchant,商人,行商人,露店商,番頭,店主,豪商,,,,,,,,,,,,
QueenSpectator,"女王観戦者
女王感染",みぃ,にぱ～,ジジ抜き,敗者はいらない,そらのむこう,,,,,,,,,,,,
MadWolf,狂人狼,悲劇,懇願,どうして,届かぬ,ラストリベリオン,,,,,,,,,,,,
Liar,嘘つき,二枚舌,迫真,大嘘,詭弁,虚言症,,,,,,,,,,,,
Spy2,スパイⅡ,"知りし者
知りし",外交官,"扇動者
扇動",黒幕,KGB,,,,,,,,,,,,
Copier,コピー,模倣,カービィ,メタモン,鏡,クローン,,,,,,,,,,,,
Cursed,呪われた者,疼く,半獣,半人,運命,そして誰もいなくなった,,,,,,,,,,,,
ApprenticeSeer,"見習い占い師
見習い占い",弟子,修行中,ピンチヒッター,スーパーサブ,免許皆伝,,,,,,,,,,,,
Diseased,病人,風邪,インフルエンザ,肺炎,結核,ガン,,,,,,,,,,,,
Spellcaster,"呪いをかける者
呪いをかける",恨み,執念,確執,怨念,緑眼,,,,,,,,,,,,
Lycan,狼憑き,誤解,事実無根,濡れ衣,冤罪,無実,,,,,,,,,,,,
Priest,"聖職者
聖職",神僕,牧師,司祭,神父,教皇,,,,,,,,,,,,
Prince,プリンス,皇族,王子様,御曹司,跡継ぎ,皇太子,,,,,,,,,,,,
PI,"超常現象研究者
超常現象研究",大学生,大学院生,ポスドク,"研究者
研究",ノーベル賞,,,,,,,,,,,,
Sorcerer,"妖術師
妖術",幻惑,蜃気楼,陽炎,幻影,幻想,,,,,,,,,,,,
Doppleganger,ドッペルゲンガー,臨機応変,不吉な影,変幻自在,"転生者
転生",もう一人の僕,,,,,,,,,,,,
CultLeader,カルトリーダー,教祖,崇拝,マインドコントロール,神通力,支配,,,,,,,,,,,,
Vampire,ヴァンパイア,魔族,血,暗黒,ツェペシュ,ドラキュラ,,,,,,,,,,,,
LoneWolf,一匹狼,我田引水,唯我独尊,孤立無援,四面楚歌,天涯孤独,,,,,,,,,,,,
Witch,魔女,魔法少女,錬金術,魔女っ子,美魔女,円環の理,,,,,,,,,,,,
Oldman,老人,還暦,喜寿,米寿,白寿,世界最高齢,,,,,,,,,,,,
Tanner,皮なめし職人,社畜,自殺衝動,死にたがり,つらい,安楽死,,,,,,,,,,,,
WolfCub,狼の子,絶望,遠吠え,パンドラの箱,餓狼,血継限界,,,,,,,,,,,,
Thief,盗人,スリ,空き巣,強盗,ギャング,怪盗,,,,,,,,,,,,
Hoodlum,"ならず者
ならず",ゴブリン,オーク,フーリガン,ヤクザ,ヒャッハー！,,,,,,,,,,,,
Dictator,"独裁者
独裁",平清盛,始皇帝,金正日,スターリン,ヒトラー,,,,,,,,,,,,
SeersMama,予言者のママ,乳母,お母さん,マミー,教育ママ,聖母,,,,,,,,,,,,
Trapper,"罠師
罠",バナナ,トリモチ,落とし穴,地雷,トラップマスター,,,,,,,,,,,,
WolfBoy,狼少年,羊飼い,ペテン,作話症,幽王,信用度ゼロ,,,,,,,,,,,,
QuantumPlayer,量子人間,観測,シュレーディンガー,波動関数,確率王,コペンハーゲン解釈,,,,,,,,,,,,
Light,デスノート,夜神月,キラ,死神,閻魔,新世界の神,,,,,,,,,,,,
Neet,ニート,就活疲れ,不登校,引きこもり,働いたら負け,明日から本気出す,,,,,,,,,,,,
RedHood,赤ずきん,赤,かわいい,可憐,勇敢,帰還,,,,,,,,,,,,
